Title,Title_in_list,Name,Latitude,Longitude,Description,Address,Icon_uri,IconSizeW,IconSizeH,Url_text,Url,Email_text,Email,Group
"Autobus do Podbořan",,"Autobus do Podbořan",50.178333,13.378611,"<span style=""font-style: italic;"">Jediné, co v Podbořanech chybí, je Tesla. Pro Popelčiny účely jí ale dobře nahradí průmyslová zóna, kam se jezdí z širokého okolí za prací. Nad krajem se kříží trasy leteckých koridorů a za jasného podzimního rána bývá nebe  požehnané.  Ospalá Popelka vyhlíží  svůj autobus  na zastávce v Lubenci u kostela. Má v prázdných očích zvláštní útěchu. </span>",,http://google-maps-icons.googlecode.com/files//bus.png,32,32,"Autobus do Podbořan na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/autobus-do-podboran,,,
"Poloha D",,"Poloha D",50.131667,13.315,"<span style=""color: rgb(0, 0, 0); font-style: italic;""><span><span><span><span><span><font size=""2"">Měsíc
 je v poloze D v pátek večer nad velkou křižovatkou u kostela uprostřed 
malého města, kde se velká silnice na jednu stranu jmenuje Karlovarská 
(tak jí říkají Pražáci) a na druhou stranu Pražská (tak jí říkají 
Varáci).  Kluci motorkáři se prohánějí na fichtlech a holky na ně 
zbytečně čekají na plácku před kinem. Nevím, jestli my všichni kluci 
nejsme tak trochu motorkáři na fichtlech.
            </font></span></span></span></span></span></span>",,http://www.click2map.com/files/59591/icons/1282663423_kmoon.png,32,32,"Poloha D na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/poloha-d,,,
Crowna,,Crowna,49.784444,16.036667,"<span style=""font-style: italic;"">Crowna je Krouna na Českomoravské vysočině, původně Koruna. Místo se dvěma kostely jako se dvěma cestami do nebe. Když tudy ale projíždíte v unaveném předjaří kolem památníku železničního neštěstí a krajem se honí stíny mraků, máte dojem, že městečko je stále zahaleno černým suknem a jeho koruna je z havraního peří. </span><br style=""font-style: italic;""><span style=""font-style: italic;"">

Ale jinak je to přívětivé místo, jak vyplývá z přiložených letních fotografií.</span>",,http://www.click2map.com/files/59591/icons/raven_ico.png,32,32,"Crowna na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/crowna,,,
Továrna,,Továrna,50.721944,15.316667,"<p style=""font-style: italic;"">Továrna stojí v tomto případě v  Mezivodí ve Velkých Hamrech u Tanvaldu, je to bývalá Liebigova textilka. Je ale mnoho dalších takových pozoruhodných průmyslových staveb, jež byly vyzdviženy v zámeckém slohu a dnes stojí povětšinou opuštěny. Možná se v nich o půlnoci zjevují pohádkové industriální bytosti.</p>

<p style=""font-style: italic;"">Možná se nám opuštěné tovární objekty jednou stanou podobnými nositeli přízračna a romantiky, jakými byly našim předkům zříceniny starých hradů.</p> ",,http://google-maps-icons.googlecode.com/files//factory.png,32,32,"Továrna na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/tovarna,,,
"Helga Braun",,"Helga Braun",50.096667,13.096944,"<p style=""font-style: italic;"">Píseň o starém pánovi, který před několika lety zavítal do bývalých Mariánských Skoků a v zarostlé stráni hledal místo, kde stával Braunovic statek. Zaváděl tam totiž v pětačtyřicátém elektřinu a mladá slečna Braunová se mu líbila, leč odsun jí odvál až někam ke Karl-Marx-Stadtu. Dívám se na starou fotku Skoků nalezenou kdesi na internetu a říkám si - možná je to ona.</p><p style=""font-style: italic;"">Druhá fotografie je z nedávné doby, písnička byla už dávno napsaná. Procházeli jsme s Jirkou Schierlem pozůstatky domů ve stráni za kostelem, když v tom krátce vysvitlo slunce a otvorem v klenbě sklípku osvětlilo nerovnou kamennou stěnu. Objevil se na ní obraz fauna, snad toho, který zpívá, kam vedly kroky Helgy Braun. Možná to bylo znamení, že jsme na správném místě.
</p><p style=""font-style: italic;"">A na třetím snímku jsou letadla, která stále někam míří...</p>",,http://google-maps-icons.googlecode.com/files//girlfriend.png,32,32,"Helga Braun na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/helga-braun,,,
"Měsíc se nasytí tmou",,"Měsíc se nasytí tmou",50.147222,13.269722,"Měsíc se sytí tmou v zarůstajících opuštěných sadech, jejichž plody už patrně nejsou nikomu zapotřebí. Ty sady najdete u Nahořečic a Kostrčan mezi Lubencem a Valčí. Nahořečice jsou  už jen chalupářskou obcí, byť s krásnou dominantní polohou v krajině, zámeček a sady v Kostrčanech mají dnes majitele prý kdesi daleko na východě...",,http://www.click2map.com/files/59591/icons/1282669035_monotone_star_moon_night.png,32,32,"Měsíc se nasytí tmou na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/mesic-se-nasyti-tmou,,,
Annenruhe,,Annenruhe,49.758056,16.672222,"<p style=""font-style: italic;"">Přepis záznamu v kronice obce Gruna u Moravské Třebové:
</p><p style=""font-style: italic;"">V roce 1823 proměnil Josef Herkner, syn starosty Moravské Třebové, skály na jižní a východní straně Křížového vrchu v zahradu. Již několik let miloval Annu Glässerovou, dceru lichtenštejnského lesníka v Karlíně, která jeho sympatie opětovala, byl však donucena provdat se 10. února 1824 za linhartického rychtáře Gromese. 23. ledna 1825 zemřela. Krátce po pohřbu se rozšířila pověst, že byla Anna vykopána, přenesena do výše zmíněné zahrady a tam opět pohřbena. Pověst zase upadla v zapomnění, její pravdivost si nikdo neověřoval.
</p><p style=""font-style: italic;"">V předvečer svátku sv. Anny zažilo město překvapení. Cesta od městské brány na Křížový vrch byla náhle nádherně osvětlena; nejvíce pochodní vedlo do zahrady, kde měla být údajně pohřbena Anna. Bylo zde skutečně místo podobné hrobu, obehnané železnou mříží, a uvnitř tvořila světla nápis „Tobě tam“. Poblíž byla osvětlena slova „Ať se jmenuje Annenruhe“. O něco výše byli skryti čeští hudebníci, kteří v 9 hodin upoutali pozornost všech příjemnou hudbou. Toto divadlo trvalo až do půlnoci a protože byl pěkný večer, přilákalo většinu Třebováků.
</p><p style=""font-style: italic;"">20. června 1934 byla v kamenolomu na Křížovém vrchu nalezena lidská kostra. Potvrdilo se, že patří mladé ženě, zemřelé asi před 100 lety. Pod ní ležely zbytky černého hedvábí a květin. Zbytky rakve nalezeny nebyly... Anniny ostatky byly uloženy do hrobu jejích příbuzných. 
</p><p style=""font-style: italic;"">Děkuji Vláďovi Steinbauerovi za inspiraci.</p>",,http://google-maps-icons.googlecode.com/files//headstone.png,32,32,"Annenruhe na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/annenruhe,,,
Kapucínka,,Kapucínka,50.122222,13.366944,"<p style=""font-style: italic;"">Kapucínka, vlastně správně Kapucín, se tyčí nad silnicí z Prahy do Karlových Varů, kousek před Lubencem. Už z dálky jsou vidět  skalní věže na jižním svahu.
</p><p style=""font-style: italic;"">Na podzim se stráně převlékají do modřínové žluti a na skalách lze občas spatřit proti nebi siluetu horolezce. Ale možná to není horolezec, ale mávající Kapucínka, zosobnění té hory, zemská paní, víla a s přibývajícím podzimem možná i ospalý démon času, připomínající naší pomíjivost.</p>",,http://maps.google.com/mapfiles/kml/pal3/icon29.png,32,32,"Kapucínka na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/kapucinka,,,
Silvestr,,Silvestr,50.131944,13.314167,"<span style=""font-style: italic;"">Silvestra neslaví ti, kdo jsou stále na cestě. Obvykle nemají proč. 
Mimoběžnost vnějšího a vnitřního světa trochu bolí. </span>",,http://www.click2map.com/files/59591/icons/1282673593_fireworks.png,32,32,"Silvestr na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/silvestr,,,
"Marie Löwy",,"Marie Löwy",50.048889,13.360833,"<span style=""font-style: italic;"">Marie Löwy vídá často nevšední nebeská světla. Bydlí v Žihli pod lesem, ve kterém balvany připomínají dávné svatyně. Jako by je nějací obři úmyslně seskupili do  povědomých útvarů. Na lesní křižovatce kamenný Kristus sestupuje z kříže a podává kolemjdoucímu pravou ruku. V břevnu zůstal po hřebu důlek.</span>",,http://www.click2map.com/files/59591/icons/jesus_icon.png,32,32,"Marie Löwy na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/marie-lowy,,,
"Zatopené doly",,"Zatopené doly",49.689167,14.006944,"<span style=""font-style: italic;"">Text je jen mírně upravená, spíše do současné češtiny převedená báseň příbramského básníka Quido Maria Vyskočila (1881 – 1969), která vyšla v jeho sbírce Pochodně v roce 1903. Postindustriální báseň vzniklá v době největšího rozkvětu věku industrie.</span>",,http://google-maps-icons.googlecode.com/files//mine.png,32,32,"Zatopené doly na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/zatopene-doly,,,
"Hello Rosemary",,"Hello Rosemary",50.228611,13.411389,"<span style=""font-style: italic;"">Hello Rosemary si zpívá hráč v chudém městě, je tam víc heren než obchodů, a on se o samotě vyznává své virtuální lásce. </span>",,http://google-maps-icons.googlecode.com/files//poker.png,32,32,"Hello Rosemary na stránkách Petra Linharta",http://http://www.petrlinhart.cz/stranka/hello-rosemary,,,
"Holub a Frič",,"Holub a Frič",49.803611,15.475556,"<span style=""font-style: italic;"">Cestovatelé Holub a Frič jsou na útěku z města, odkud už odešli všichni, s kým se kdy chtěli potkat. Ale před svými stíny stejně nikdy neutečou. Co je to za město si nechám tentokráte pro sebe. Ať si každý ať si dosadí podle svých zkušeností, má-li snad takové...</span>",,http://google-maps-icons.googlecode.com/files//hiking.png,32,32,"Holub a Frič na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/holub-_-fric,,,
"Přicházejí nad ránem",,"Přicházejí nad ránem",49.803611,15.475556,"<span style=""font-style: italic;"">Nedělní jarní slunečné ráno, světelný polospánek, pohlazení.  Zatímco spíš, obléká se naděje.</span>",,http://maps.google.com/mapfiles/kml/pal3/icon49.png,32,32,"Přicházejí nad ránem na stránkách Petra Linharta",http://www.petrlinhart.cz/stranka/prichazeji-nad-ranem,,,
